Model,2000,6000,8000,12000,16000,20000
ROME,82.18,76.71,69.03,66.6,65.13,64.4
MEMIT,88.09,86.71,83.18,79.55,75.12,74.13
IKE,90.65,89.13,87.67,86.5,85.64,86.36
PMET,98.78,97.35,94.32,90.53,89.18,88.03
AlphaEdit,99.87,97.3,93.13,88.21,87.91,85.17
CoT2Edit,95.34,94.38,95.06,94.37,93.9,93.57
