Model,2000,6000,8000,12000,16000,20000
ROME,86.13,80.11,72.31,68.31,65.63,63.07
MEMIT,90.32,88.77,83.15,82.11,80.8,78.13
IKE,88.17,88,87.83,86.12,85.31,84.43
PMET,99.8,98.17,97.63,95.75,92.38,90.63
AlphaEdit,99.8,97.31,93.15,91.13,90.4,89.57
CoT2Edit,99.13,98.75,98.82,99.01,99.13,99.04
